Disease,YEAR,CASRN,ChemicalName,variable,value
Alzheimer's Disease,1993,60168-88-9,Fenarimol,California,0.0639271205289256
Alzheimer's Disease,1994,60168-88-9,Fenarimol,California,0.0746711474402588
Alzheimer's Disease,1995,60168-88-9,Fenarimol,California,0.0652045978403896
Alzheimer's Disease,1996,60168-88-9,Fenarimol,California,0.046193220271993
Alzheimer's Disease,1997,60168-88-9,Fenarimol,California,0.0433469674575006
Alzheimer's Disease,1998,60168-88-9,Fenarimol,California,0.0529405589999464
Alzheimer's Disease,1999,60168-88-9,Fenarimol,California,0.0628998773467791
Alzheimer's Disease,2000,60168-88-9,Fenarimol,California,0.026911718169128
Alzheimer's Disease,2001,60168-88-9,Fenarimol,California,0.0185506901200636
Alzheimer's Disease,2002,60168-88-9,Fenarimol,California,0.0168234330018009
Alzheimer's Disease,2003,60168-88-9,Fenarimol,California,0.0195266032244015
Alzheimer's Disease,2004,60168-88-9,Fenarimol,California,0.0132611256018772
Alzheimer's Disease,2005,60168-88-9,Fenarimol,California,0.0214925452044747
Alzheimer's Disease,2006,60168-88-9,Fenarimol,California,0.0130153828543681
Alzheimer's Disease,2007,60168-88-9,Fenarimol,California,0.0129813766778198
Alzheimer's Disease,2008,60168-88-9,Fenarimol,California,0.0152495244909917
Alzheimer's Disease,2009,60168-88-9,Fenarimol,California,0.0110532906301306
Alzheimer's Disease,2010,60168-88-9,Fenarimol,California,0.00981623575494097
Alzheimer's Disease,2011,60168-88-9,Fenarimol,California,0.00760904240916693
Alzheimer's Disease,2012,60168-88-9,Fenarimol,California,0.00138976185667051
Alzheimer's Disease,2013,60168-88-9,Fenarimol,California,0.000538965816991334
Alzheimer's Disease,2014,60168-88-9,Fenarimol,California,0.00026306664876958
Alzheimer's Disease,2015,60168-88-9,Fenarimol,California,0.000205961937207403
Alzheimer's Disease,2016,60168-88-9,Fenarimol,California,4.74803219730461e-05
Alzheimer's Disease,2017,60168-88-9,Fenarimol,California,9.30357660282659e-05
Alzheimer's Disease,2018,60168-88-9,Fenarimol,California,2.69482908495667e-05
Alzheimer's Disease,1992,732-11-6,Phosmet,California,0.771699597905835
Alzheimer's Disease,1993,732-11-6,Phosmet,California,0.666209230123262
Alzheimer's Disease,1994,732-11-6,Phosmet,California,0.600323867125934
Alzheimer's Disease,1995,732-11-6,Phosmet,California,0.778686263121572
Alzheimer's Disease,1996,732-11-6,Phosmet,California,1.16060578217927
Alzheimer's Disease,1997,732-11-6,Phosmet,California,1.68375102756399
Alzheimer's Disease,1998,732-11-6,Phosmet,California,1.88589593186035
Alzheimer's Disease,1999,732-11-6,Phosmet,California,1.88171830515269
Alzheimer's Disease,2000,732-11-6,Phosmet,California,1.67121237280728
Alzheimer's Disease,2001,732-11-6,Phosmet,California,1.74851418673523
Alzheimer's Disease,2002,732-11-6,Phosmet,California,1.17866370355238
Alzheimer's Disease,2003,732-11-6,Phosmet,California,0.994367550562052
Alzheimer's Disease,2004,732-11-6,Phosmet,California,1.91397412604768
Alzheimer's Disease,2005,732-11-6,Phosmet,California,1.59164241106615
Alzheimer's Disease,2006,732-11-6,Phosmet,California,1.81835517385369
Alzheimer's Disease,2007,732-11-6,Phosmet,California,1.23277907970817
Alzheimer's Disease,2008,732-11-6,Phosmet,California,0.988213715858761
Alzheimer's Disease,2009,732-11-6,Phosmet,California,0.385640308072861
Alzheimer's Disease,2010,732-11-6,Phosmet,California,0.334553406507781
Alzheimer's Disease,2011,732-11-6,Phosmet,California,0.277634124851688
Alzheimer's Disease,2012,732-11-6,Phosmet,California,0.155935001749072
Alzheimer's Disease,2013,732-11-6,Phosmet,California,0.176925153816994
Alzheimer's Disease,2014,732-11-6,Phosmet,California,0.128846836437477
Alzheimer's Disease,2015,732-11-6,Phosmet,California,0.060810743179965
Alzheimer's Disease,2016,732-11-6,Phosmet,California,0.0841056157414976
Alzheimer's Disease,2017,732-11-6,Phosmet,California,0.0479063616188583
Alzheimer's Disease,2018,732-11-6,Phosmet,California,0.065743563657381
Alzheimer's Disease,1992,8018-01-7,Mancozeb,California,0.839117163725753
Alzheimer's Disease,1993,8018-01-7,Mancozeb,California,1.19975972390578
Alzheimer's Disease,1994,8018-01-7,Mancozeb,California,1.45633247620658
Alzheimer's Disease,1995,8018-01-7,Mancozeb,California,1.80185191221222
Alzheimer's Disease,1996,8018-01-7,Mancozeb,California,1.49386695397822
Alzheimer's Disease,1997,8018-01-7,Mancozeb,California,1.40632414790146
Alzheimer's Disease,1998,8018-01-7,Mancozeb,California,2.86348624649063
Alzheimer's Disease,1999,8018-01-7,Mancozeb,California,1.74838329503682
Alzheimer's Disease,2000,8018-01-7,Mancozeb,California,1.62030191838466
Alzheimer's Disease,2001,8018-01-7,Mancozeb,California,1.11499708316833
Alzheimer's Disease,2002,8018-01-7,Mancozeb,California,0.99352124590418
Alzheimer's Disease,2003,8018-01-7,Mancozeb,California,1.35408937747138
Alzheimer's Disease,2004,8018-01-7,Mancozeb,California,0.956194013321695
Alzheimer's Disease,2005,8018-01-7,Mancozeb,California,1.71352824732679
Alzheimer's Disease,2006,8018-01-7,Mancozeb,California,1.76169254258664
Alzheimer's Disease,2007,8018-01-7,Mancozeb,California,1.03169606639648
Alzheimer's Disease,2008,8018-01-7,Mancozeb,California,0.762887506798027
Alzheimer's Disease,2009,8018-01-7,Mancozeb,California,0.64812885184112
Alzheimer's Disease,2010,8018-01-7,Mancozeb,California,1.97849475060127
Alzheimer's Disease,2011,8018-01-7,Mancozeb,California,2.90201203638995
Alzheimer's Disease,2012,8018-01-7,Mancozeb,California,3.08718785858871
Alzheimer's Disease,2013,8018-01-7,Mancozeb,California,3.20239565172645
Alzheimer's Disease,2014,8018-01-7,Mancozeb,California,3.5069665181602
Alzheimer's Disease,2015,8018-01-7,Mancozeb,California,3.55998984691061
Alzheimer's Disease,2016,8018-01-7,Mancozeb,California,4.01428798380844
Alzheimer's Disease,2017,8018-01-7,Mancozeb,California,4.2782779323526
Alzheimer's Disease,2018,8018-01-7,Mancozeb,California,3.68510370343945
Alzheimer's Disease,1992,133-06-2,Captan,Connecticut,3.71038616967016
Alzheimer's Disease,1993,133-06-2,Captan,Connecticut,0.833999285521064
Alzheimer's Disease,1994,133-06-2,Captan,Connecticut,0.645250883290072
Alzheimer's Disease,1995,133-06-2,Captan,Connecticut,3.42916849932579
Alzheimer's Disease,1996,133-06-2,Captan,Connecticut,1.85187364873655
Alzheimer's Disease,1997,133-06-2,Captan,Connecticut,8.05325139540214
Alzheimer's Disease,1998,133-06-2,Captan,Connecticut,1.77984756406047
Alzheimer's Disease,1999,133-06-2,Captan,Connecticut,1.83371225496573
Alzheimer's Disease,2000,133-06-2,Captan,Connecticut,2.04916069374666
Alzheimer's Disease,2001,133-06-2,Captan,Connecticut,1.39364691937745
Alzheimer's Disease,2002,133-06-2,Captan,Connecticut,1.09545521187604
Alzheimer's Disease,2003,133-06-2,Captan,Connecticut,1.80178784931515
Alzheimer's Disease,2004,133-06-2,Captan,Connecticut,2.84201549139012
Alzheimer's Disease,2005,133-06-2,Captan,Connecticut,2.12815604550364
Alzheimer's Disease,2006,133-06-2,Captan,Connecticut,1.93236610231091
Alzheimer's Disease,2007,133-06-2,Captan,Connecticut,2.21779630742418
Alzheimer's Disease,2008,133-06-2,Captan,Connecticut,2.77308685874999
Alzheimer's Disease,2009,133-06-2,Captan,Connecticut,2.57420978836143
Alzheimer's Disease,2010,133-06-2,Captan,Connecticut,2.45066275148729
Alzheimer's Disease,2011,133-06-2,Captan,Connecticut,2.22940142771889
Alzheimer's Disease,2012,133-06-2,Captan,Connecticut,2.04411184692805
Alzheimer's Disease,2013,133-06-2,Captan,Connecticut,4.05197318019531
Alzheimer's Disease,2014,133-06-2,Captan,Connecticut,2.29599664649193
Alzheimer's Disease,2015,133-06-2,Captan,Connecticut,2.32614517964189
Alzheimer's Disease,2016,133-06-2,Captan,Connecticut,1.57406317563173
Alzheimer's Disease,2017,133-06-2,Captan,Connecticut,1.52434907045464
Alzheimer's Disease,2018,133-06-2,Captan,Connecticut,2.21036242253789
Alzheimer's Disease,1992,60168-88-9,Fenarimol,Connecticut,0.0144754258480307
Alzheimer's Disease,1993,60168-88-9,Fenarimol,Connecticut,0.00429513348985791
Alzheimer's Disease,1994,60168-88-9,Fenarimol,Connecticut,0.00499722261800776
Alzheimer's Disease,1995,60168-88-9,Fenarimol,Connecticut,0.0193590752247202
Alzheimer's Disease,1996,60168-88-9,Fenarimol,Connecticut,0.00719641356353597
Alzheimer's Disease,1997,60168-88-9,Fenarimol,Connecticut,0.0109443305270418
Alzheimer's Disease,1998,60168-88-9,Fenarimol,Connecticut,0.0041092863677006
Alzheimer's Disease,1999,60168-88-9,Fenarimol,Connecticut,0.011832266777349
Alzheimer's Disease,2000,60168-88-9,Fenarimol,Connecticut,0.0192248523031621
Alzheimer's Disease,2001,60168-88-9,Fenarimol,Connecticut,0.0249654634097991
Alzheimer's Disease,2002,60168-88-9,Fenarimol,Connecticut,0.00357239468146836
Alzheimer's Disease,2003,60168-88-9,Fenarimol,Connecticut,0.0100150949162552
Alzheimer's Disease,2004,60168-88-9,Fenarimol,Connecticut,0.0160241518660084
Alzheimer's Disease,2005,60168-88-9,Fenarimol,Connecticut,0.00727901228449478
Alzheimer's Disease,2006,60168-88-9,Fenarimol,Connecticut,0.0042125347688991
Alzheimer's Disease,2007,60168-88-9,Fenarimol,Connecticut,0.00640140087430746
Alzheimer's Disease,2008,60168-88-9,Fenarimol,Connecticut,0.00260185971020239
Alzheimer's Disease,2009,60168-88-9,Fenarimol,Connecticut,0.0041712354084197
Alzheimer's Disease,2010,60168-88-9,Fenarimol,Connecticut,0.000815662369468209
Alzheimer's Disease,2011,60168-88-9,Fenarimol,Connecticut,0.00803272561324388
Alzheimer's Disease,2012,60168-88-9,Fenarimol,Connecticut,0.00192042026229224
Alzheimer's Disease,2013,60168-88-9,Fenarimol,Connecticut,0
Alzheimer's Disease,2014,60168-88-9,Fenarimol,Connecticut,0
Alzheimer's Disease,2015,60168-88-9,Fenarimol,Connecticut,0
Alzheimer's Disease,2016,60168-88-9,Fenarimol,Connecticut,0
Alzheimer's Disease,2017,60168-88-9,Fenarimol,Connecticut,0
Alzheimer's Disease,2018,60168-88-9,Fenarimol,Connecticut,0
Alzheimer's Disease,1992,732-11-6,Phosmet,Connecticut,0.10032647144459
Alzheimer's Disease,1993,732-11-6,Phosmet,Connecticut,0.159869824415769
Alzheimer's Disease,1994,732-11-6,Phosmet,Connecticut,0.931279929130297
Alzheimer's Disease,1995,732-11-6,Phosmet,Connecticut,0.116825565956111
Alzheimer's Disease,1996,732-11-6,Phosmet,Connecticut,0.644228724118207
Alzheimer's Disease,1997,732-11-6,Phosmet,Connecticut,2.51254984316568
Alzheimer's Disease,1998,732-11-6,Phosmet,Connecticut,0.0800278357689631
Alzheimer's Disease,1999,732-11-6,Phosmet,Connecticut,0.775601989803188
Alzheimer's Disease,2000,732-11-6,Phosmet,Connecticut,0.47383788762031
Alzheimer's Disease,2001,732-11-6,Phosmet,Connecticut,0.943917533436995
Alzheimer's Disease,2002,732-11-6,Phosmet,Connecticut,0.413891865884457
Alzheimer's Disease,2003,732-11-6,Phosmet,Connecticut,0.543788679432299
Alzheimer's Disease,2004,732-11-6,Phosmet,Connecticut,0.832811928907281
Alzheimer's Disease,2005,732-11-6,Phosmet,Connecticut,0.709564312396623
Alzheimer's Disease,2006,732-11-6,Phosmet,Connecticut,0.737751125923815
Alzheimer's Disease,2007,732-11-6,Phosmet,Connecticut,0.860802570472196
Alzheimer's Disease,2008,732-11-6,Phosmet,Connecticut,0.453487627744084
Alzheimer's Disease,2009,732-11-6,Phosmet,Connecticut,0.549054347893423
Alzheimer's Disease,2010,732-11-6,Phosmet,Connecticut,0.805709223592673
Alzheimer's Disease,2011,732-11-6,Phosmet,Connecticut,0.83563061026
Alzheimer's Disease,2012,732-11-6,Phosmet,Connecticut,0.24834337940277
Alzheimer's Disease,2013,732-11-6,Phosmet,Connecticut,2.38303504870227
Alzheimer's Disease,2014,732-11-6,Phosmet,Connecticut,0.239877010504492
Alzheimer's Disease,2015,732-11-6,Phosmet,Connecticut,0.750368080550273
Alzheimer's Disease,2016,732-11-6,Phosmet,Connecticut,0.116360948150718
Alzheimer's Disease,2017,732-11-6,Phosmet,Connecticut,0.669380034650164
Alzheimer's Disease,2018,732-11-6,Phosmet,Connecticut,3.49661035498865
Alzheimer's Disease,1992,8018-01-7,Mancozeb,Connecticut,0.63988196642775
Alzheimer's Disease,1993,8018-01-7,Mancozeb,Connecticut,0.68623017372576
Alzheimer's Disease,1994,8018-01-7,Mancozeb,Connecticut,1.4677895962781
Alzheimer's Disease,1995,8018-01-7,Mancozeb,Connecticut,1.88789701591471
Alzheimer's Disease,1996,8018-01-7,Mancozeb,Connecticut,0.873109779895058
Alzheimer's Disease,1997,8018-01-7,Mancozeb,Connecticut,7.60311934069701
Alzheimer's Disease,1998,8018-01-7,Mancozeb,Connecticut,1.73508938214092
Alzheimer's Disease,1999,8018-01-7,Mancozeb,Connecticut,4.34764562670747
Alzheimer's Disease,2000,8018-01-7,Mancozeb,Connecticut,1.98998903501979
Alzheimer's Disease,2001,8018-01-7,Mancozeb,Connecticut,3.5554619436718
Alzheimer's Disease,2002,8018-01-7,Mancozeb,Connecticut,2.11761438374127
Alzheimer's Disease,2003,8018-01-7,Mancozeb,Connecticut,2.63555998835358
Alzheimer's Disease,2004,8018-01-7,Mancozeb,Connecticut,2.47595860978093
Alzheimer's Disease,2005,8018-01-7,Mancozeb,Connecticut,1.25408605547743
Alzheimer's Disease,2006,8018-01-7,Mancozeb,Connecticut,2.48287625266123
Alzheimer's Disease,2007,8018-01-7,Mancozeb,Connecticut,1.33296783399309
Alzheimer's Disease,2008,8018-01-7,Mancozeb,Connecticut,2.43142757434401
Alzheimer's Disease,2009,8018-01-7,Mancozeb,Connecticut,1.55031604335607
Alzheimer's Disease,2010,8018-01-7,Mancozeb,Connecticut,1.54596928566561
Alzheimer's Disease,2011,8018-01-7,Mancozeb,Connecticut,2.12259095667904
Alzheimer's Disease,2012,8018-01-7,Mancozeb,Connecticut,1.50034381717599
Alzheimer's Disease,2013,8018-01-7,Mancozeb,Connecticut,1.6505082918791
Alzheimer's Disease,2014,8018-01-7,Mancozeb,Connecticut,1.29938112908322
Alzheimer's Disease,2015,8018-01-7,Mancozeb,Connecticut,1.04722788367622
Alzheimer's Disease,2016,8018-01-7,Mancozeb,Connecticut,0.249324239214156
Alzheimer's Disease,2017,8018-01-7,Mancozeb,Connecticut,1.10282714772162
Alzheimer's Disease,2018,8018-01-7,Mancozeb,Connecticut,1.3477426802046
Alzheimer's Disease,1992,133-06-2,Captan,Delaware,0.0842181974944958
Alzheimer's Disease,1993,133-06-2,Captan,Delaware,0.297355415163381
Alzheimer's Disease,1994,133-06-2,Captan,Delaware,0.0801381568480531
Alzheimer's Disease,1995,133-06-2,Captan,Delaware,0.1273793821946
Alzheimer's Disease,1996,133-06-2,Captan,Delaware,0.313367650153194
Alzheimer's Disease,1997,133-06-2,Captan,Delaware,0.0532458134677266
Alzheimer's Disease,1998,133-06-2,Captan,Delaware,0.0998455229893611
Alzheimer's Disease,1999,133-06-2,Captan,Delaware,0.134205110571668
Alzheimer's Disease,2000,133-06-2,Captan,Delaware,0.169154892712893
Alzheimer's Disease,2001,133-06-2,Captan,Delaware,0.139491200968946
Alzheimer's Disease,2002,133-06-2,Captan,Delaware,0.190222272403016
Alzheimer's Disease,2003,133-06-2,Captan,Delaware,0.393788073964209
Alzheimer's Disease,2004,133-06-2,Captan,Delaware,0.159455173440218
Alzheimer's Disease,2005,133-06-2,Captan,Delaware,0.162303503702829
Alzheimer's Disease,2006,133-06-2,Captan,Delaware,0.193327208995592
Alzheimer's Disease,2007,133-06-2,Captan,Delaware,0.0698225823834622
Alzheimer's Disease,2008,133-06-2,Captan,Delaware,0.126250314342754
Alzheimer's Disease,2009,133-06-2,Captan,Delaware,0.147753924793817
Alzheimer's Disease,2010,133-06-2,Captan,Delaware,0.132537169426895
Alzheimer's Disease,2011,133-06-2,Captan,Delaware,0.138208169319121
Alzheimer's Disease,2012,133-06-2,Captan,Delaware,0.0884265413059209
Alzheimer's Disease,2013,133-06-2,Captan,Delaware,0.178880272618565
Alzheimer's Disease,2014,133-06-2,Captan,Delaware,0.115421527218233
Alzheimer's Disease,2015,133-06-2,Captan,Delaware,0.176904403877835
Alzheimer's Disease,2016,133-06-2,Captan,Delaware,0.148421101251726
Alzheimer's Disease,2017,133-06-2,Captan,Delaware,0.285705487782973
Alzheimer's Disease,2018,133-06-2,Captan,Delaware,0
Alzheimer's Disease,1992,60168-88-9,Fenarimol,Delaware,0.000102642531985979
Alzheimer's Disease,1993,60168-88-9,Fenarimol,Delaware,5.13212659929895e-05
Alzheimer's Disease,1994,60168-88-9,Fenarimol,Delaware,0
Alzheimer's Disease,1995,60168-88-9,Fenarimol,Delaware,0.000102642531985979
Alzheimer's Disease,1996,60168-88-9,Fenarimol,Delaware,0
Alzheimer's Disease,1997,60168-88-9,Fenarimol,Delaware,0.000307927595957937
Alzheimer's Disease,1998,60168-88-9,Fenarimol,Delaware,5.13212659929895e-05
Alzheimer's Disease,1999,60168-88-9,Fenarimol,Delaware,5.13212659929895e-05
Alzheimer's Disease,2000,60168-88-9,Fenarimol,Delaware,5.13212659929895e-05
Alzheimer's Disease,2001,60168-88-9,Fenarimol,Delaware,0.000102642531985979
