Disease,CASRN,ChemicalName,RankOrder,SNPs,Genes,Reps,Rules
Parkinson Disease,50471-44-8,Vinclozolin,21,4,7,10,3616
Parkinson Disease,53112-28-0,Pyrimethanil,37.3333333333333,7,8,6,5317
Parkinson Disease,57966-95-7,Cymoxanil,39.625,0,1,8,9565
Parkinson Disease,60168-88-9,Fenarimol,34.4,2,17,10,5364
Parkinson Disease,68694-11-1,Triflumizole,20.3,5,27,10,9815
Parkinson Disease,732-11-6,Phosmet,40.1,0,3,10,1603
Parkinson Disease,74115-24-5,Clofentezine,36.2,0,4,10,8950
Parkinson Disease,7440-50-8,Copper,8,228,374,9,5852
Parkinson Disease,7722-84-1,Hydrogen Peroxide,3.1,317,450,10,6096
Parkinson Disease,8018-01-7,Mancozeb,11.9,33,48,10,352
Parkinson Disease,83-79-4,Rotenone,5.9,323,310,10,1300
Parkinson Disease,86-50-0,Azinphosmethyl,30.1111111111111,1,6,9,7241
Parkinson Disease,88671-89-0,Myclobutanil,36.9,0,7,10,2448
Parkinson Disease,9006-42-2,Polymarcine,17.8,17,36,10,2737
Parkinson Disease,96489-71-3,Pyridaben,11.2222222222222,60,25,9,8834
