Disease,PathwayID,PathwayName,GeneID,GeneSymbol,SNPs,TotalSNPs,FoldHit
Alzheimer's Disease,R-HSA-112315,Transmission across Chemical Synapses,43,ACHE,1,56,0.885619656922537
Alzheimer's Disease,R-HSA-112315,Transmission across Chemical Synapses,590,BCHE,3,56,0.768521871520686
Alzheimer's Disease,R-HSA-112315,Transmission across Chemical Synapses,815,CAMK2A,6,56,0.671441174421641
Alzheimer's Disease,R-HSA-112315,Transmission across Chemical Synapses,5594,MAPK1,1,56,1.09148122593836
Alzheimer's Disease,R-HSA-112315,Transmission across Chemical Synapses,6532,SLC6A4,5,56,0.863179994759649
Alzheimer's Disease,R-HSA-112315,Transmission across Chemical Synapses,1135,CHRNA2,3,56,0.871465500672657
Alzheimer's Disease,R-HSA-112315,Transmission across Chemical Synapses,2555,GABRA2,1,56,0.811355423913828
Alzheimer's Disease,R-HSA-112315,Transmission across Chemical Synapses,217,ALDH2,1,56,0.970177844051961
Alzheimer's Disease,R-HSA-112315,Transmission across Chemical Synapses,6616,SNAP25,2,56,1.09119444971886
Alzheimer's Disease,R-HSA-112315,Transmission across Chemical Synapses,1312,COMT,2,56,1.16009286100097
Alzheimer's Disease,R-HSA-112315,Transmission across Chemical Synapses,161,AP2A2,2,56,1.12838035152786
Alzheimer's Disease,R-HSA-112315,Transmission across Chemical Synapses,9463,PICK1,2,56,1.12838035152786
Alzheimer's Disease,R-HSA-112315,Transmission across Chemical Synapses,6804,STX1A,1,56,1.33136330302609
Alzheimer's Disease,R-HSA-112315,Transmission across Chemical Synapses,4137,MAPT,23,56,1.50956819059736
Alzheimer's Disease,R-HSA-112315,Transmission across Chemical Synapses,116444,GRIN3B,2,56,1.35662191333143
Alzheimer's Disease,R-HSA-112316,Neuronal System,6531,SLC6A3,1,61,0.818271946995884
Alzheimer's Disease,R-HSA-112316,Neuronal System,43,ACHE,1,61,0.885619656922537
Alzheimer's Disease,R-HSA-112316,Neuronal System,590,BCHE,3,61,0.768521871520686
Alzheimer's Disease,R-HSA-112316,Neuronal System,815,CAMK2A,6,61,0.671441174421641
Alzheimer's Disease,R-HSA-112316,Neuronal System,5594,MAPK1,1,61,1.09148122593836
Alzheimer's Disease,R-HSA-112316,Neuronal System,6532,SLC6A4,5,61,0.863179994759649
Alzheimer's Disease,R-HSA-112316,Neuronal System,1135,CHRNA2,3,61,0.871465500672657
Alzheimer's Disease,R-HSA-112316,Neuronal System,10060,ABCC9,1,61,1.13359410241718
Alzheimer's Disease,R-HSA-112316,Neuronal System,2555,GABRA2,1,61,0.811355423913828
Alzheimer's Disease,R-HSA-112316,Neuronal System,217,ALDH2,1,61,0.970177844051961
Alzheimer's Disease,R-HSA-112316,Neuronal System,6616,SNAP25,2,61,1.09119444971886
Alzheimer's Disease,R-HSA-112316,Neuronal System,1312,COMT,2,61,1.16009286100097
Alzheimer's Disease,R-HSA-112316,Neuronal System,161,AP2A2,2,61,1.12838035152786
Alzheimer's Disease,R-HSA-112316,Neuronal System,9463,PICK1,2,61,1.12838035152786
Alzheimer's Disease,R-HSA-112316,Neuronal System,6804,STX1A,1,61,1.33136330302609
Alzheimer's Disease,R-HSA-112316,Neuronal System,3556,IL1RAP,1,61,1.31953553635758
Alzheimer's Disease,R-HSA-112316,Neuronal System,4137,MAPT,23,61,1.50956819059736
Alzheimer's Disease,R-HSA-112316,Neuronal System,9369,NRXN3,1,61,1.28223139368848
Alzheimer's Disease,R-HSA-112316,Neuronal System,9455,HOMER2,1,61,1.34008478455957
Alzheimer's Disease,R-HSA-112316,Neuronal System,116444,GRIN3B,2,61,1.35662191333143
Alzheimer's Disease,R-HSA-112316,Neuronal System,10242,KCNMB2,1,61,1.35662191333143
Alzheimer's Disease,R-HSA-112399,IRS-mediated signalling,9846,GAB2,10,12,1.23534899857488
Alzheimer's Disease,R-HSA-112399,IRS-mediated signalling,2255,FGF10,1,12,1
Alzheimer's Disease,R-HSA-112399,IRS-mediated signalling,2246,FGF1,1,12,1.1750825112488
Alzheimer's Disease,R-HSA-112409,RAF-independent MAPK1/3 activation,3569,IL6,1,6,0.898027504815206
Alzheimer's Disease,R-HSA-112409,RAF-independent MAPK1/3 activation,3570,IL6R,1,6,0.923748470799771
Alzheimer's Disease,R-HSA-112409,RAF-independent MAPK1/3 activation,5594,MAPK1,1,6,1.09148122593836
Alzheimer's Disease,R-HSA-112409,RAF-independent MAPK1/3 activation,983,CDK1,3,6,1.15040880124906
Alzheimer's Disease,R-HSA-114452,Activation of BH3-only proteins,7157,TP53,6,12,0.840800205218896
Alzheimer's Disease,R-HSA-114452,Activation of BH3-only proteins,207,AKT1,1,12,1.04011028406985
Alzheimer's Disease,R-HSA-114452,Activation of BH3-only proteins,596,BCL2,1,12,0.883676272730323
Alzheimer's Disease,R-HSA-114452,Activation of BH3-only proteins,5534,PPP3R1,1,12,1.1641689313793
Alzheimer's Disease,R-HSA-114452,Activation of BH3-only proteins,7161,TP73,1,12,1.1750825112488
Alzheimer's Disease,R-HSA-114452,Activation of BH3-only proteins,7534,YWHAZ,2,12,1.05429055281819
Alzheimer's Disease,R-HSA-114604,GPVI-mediated activation cascade,5336,PLCG2,1,2,0.925541851528177
Alzheimer's Disease,R-HSA-114604,GPVI-mediated activation cascade,2534,FYN,1,2,1.23749757585843
Alzheimer's Disease,R-HSA-114608,Platelet degranulation,3479,IGF1,2,96,0.827324645984545
Alzheimer's Disease,R-HSA-114608,Platelet degranulation,351,APP,61,96,0.951979405216758
Alzheimer's Disease,R-HSA-114608,Platelet degranulation,6647,SOD1,5,96,1.1020255305456
Alzheimer's Disease,R-HSA-114608,Platelet degranulation,7422,VEGFA,3,96,1.03826194889513
Alzheimer's Disease,R-HSA-114608,Platelet degranulation,5054,SERPINE1,2,96,0.953061018971895
Alzheimer's Disease,R-HSA-114608,Platelet degranulation,3309,HSPA5,2,96,0.96673934379183
Alzheimer's Disease,R-HSA-114608,Platelet degranulation,7042,TGFB2,1,96,1.12646488406409
Alzheimer's Disease,R-HSA-114608,Platelet degranulation,948,CD36,3,96,1.00758517078525
Alzheimer's Disease,R-HSA-114608,Platelet degranulation,2,A2M,2,96,1.14999630035644
Alzheimer's Disease,R-HSA-114608,Platelet degranulation,2162,F13A1,2,96,1
Alzheimer's Disease,R-HSA-114608,Platelet degranulation,5340,PLG,1,96,1.17506878247387
Alzheimer's Disease,R-HSA-114608,Platelet degranulation,1191,CLU,8,96,1.44116542557945
Alzheimer's Disease,R-HSA-114608,Platelet degranulation,12,SERPINA3,2,96,1.3975287552433
Alzheimer's Disease,R-HSA-114608,Platelet degranulation,7018,TF,2,96,1.44116542557945
Alzheimer's Disease,R-HSA-1169410,Antiviral mechanism by IFN-stimulated genes,7157,TP53,6,46,0.840800205218896
Alzheimer's Disease,R-HSA-1169410,Antiviral mechanism by IFN-stimulated genes,6622,SNCA,5,46,0.991577321560226
Alzheimer's Disease,R-HSA-1169410,Antiviral mechanism by IFN-stimulated genes,7341,SUMO1,1,46,1.12142997293398
Alzheimer's Disease,R-HSA-1169410,Antiviral mechanism by IFN-stimulated genes,7329,UBE2I,1,46,1.14871590641754
Alzheimer's Disease,R-HSA-1169410,Antiviral mechanism by IFN-stimulated genes,983,CDK1,3,46,1.15040880124906
Alzheimer's Disease,R-HSA-1169410,Antiviral mechanism by IFN-stimulated genes,23636,NUP62,1,46,1.03570845508017
Alzheimer's Disease,R-HSA-1169410,Antiviral mechanism by IFN-stimulated genes,6895,TARBP2,1,46,1
Alzheimer's Disease,R-HSA-1169410,Antiviral mechanism by IFN-stimulated genes,4599,MX1,2,46,1.0292756835762
Alzheimer's Disease,R-HSA-1169410,Antiviral mechanism by IFN-stimulated genes,5610,EIF2AK2,1,46,1.12838035152786
Alzheimer's Disease,R-HSA-1169410,Antiviral mechanism by IFN-stimulated genes,5300,PIN1,2,46,1.23004144088159
Alzheimer's Disease,R-HSA-1169410,Antiviral mechanism by IFN-stimulated genes,4137,MAPT,23,46,1.50956819059736
Alzheimer's Disease,R-HSA-1221632,Meiotic synapsis,7329,UBE2I,1,2,1.14871590641754
Alzheimer's Disease,R-HSA-1221632,Meiotic synapsis,10734,STAG3,1,2,1
Alzheimer's Disease,R-HSA-1227986,Signaling by ERBB2,207,AKT1,1,4,1.04011028406985
Alzheimer's Disease,R-HSA-1227986,Signaling by ERBB2,1956,EGFR,2,4,1.03587577510901
Alzheimer's Disease,R-HSA-1227986,Signaling by ERBB2,2534,FYN,1,4,1.23749757585843
Alzheimer's Disease,R-HSA-1227990,Signaling by ERBB2 in Cancer,1956,EGFR,2,2,1.03587577510901
Alzheimer's Disease,R-HSA-1236382,Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants,1956,EGFR,2,2,1.03587577510901
Alzheimer's Disease,R-HSA-1236394,Signaling by ERBB4,2099,ESR1,5,112,0.813465064636042
Alzheimer's Disease,R-HSA-1236394,Signaling by ERBB4,6868,ADAM17,1,112,1.08337316258491
Alzheimer's Disease,R-HSA-1236394,Signaling by ERBB4,1956,EGFR,2,112,1.03587577510901
Alzheimer's Disease,R-HSA-1236394,Signaling by ERBB4,23385,NCSTN,1,112,1.1641689313793
Alzheimer's Disease,R-HSA-1236394,Signaling by ERBB4,5664,PSEN2,12,112,1
Alzheimer's Disease,R-HSA-1236394,Signaling by ERBB4,5663,PSEN1,62,112,1.1105703679269
Alzheimer's Disease,R-HSA-1236394,Signaling by ERBB4,348,APOE,25,112,0.907527496987097
Alzheimer's Disease,R-HSA-1236394,Signaling by ERBB4,6285,S100B,1,112,1
Alzheimer's Disease,R-HSA-1236394,Signaling by ERBB4,51107,APH1A,1,112,2.58358974358974
Alzheimer's Disease,R-HSA-1236394,Signaling by ERBB4,83464,APH1B,2,112,2.58358974358974
Alzheimer's Disease,R-HSA-1236975,Antigen processing-Cross presentation,948,CD36,3,6,1.00758517078525
Alzheimer's Disease,R-HSA-1236975,Antigen processing-Cross presentation,7097,TLR2,1,6,0.952168088249839
Alzheimer's Disease,R-HSA-1236975,Antigen processing-Cross presentation,7099,TLR4,1,6,1.08873520959667
Alzheimer's Disease,R-HSA-1236975,Antigen processing-Cross presentation,6891,TAP2,1,6,1.28223139368848
Alzheimer's Disease,R-HSA-1250196,SHC1 events in ERBB2 signaling,1956,EGFR,2,2,1.03587577510901
Alzheimer's Disease,R-HSA-1251985,Nuclear signaling by ERBB4,2099,ESR1,5,110,0.813465064636042
Alzheimer's Disease,R-HSA-1251985,Nuclear signaling by ERBB4,6868,ADAM17,1,110,1.08337316258491
Alzheimer's Disease,R-HSA-1251985,Nuclear signaling by ERBB4,23385,NCSTN,1,110,1.1641689313793
Alzheimer's Disease,R-HSA-1251985,Nuclear signaling by ERBB4,5664,PSEN2,12,110,1
Alzheimer's Disease,R-HSA-1251985,Nuclear signaling by ERBB4,5663,PSEN1,62,110,1.1105703679269
Alzheimer's Disease,R-HSA-1251985,Nuclear signaling by ERBB4,348,APOE,25,110,0.907527496987097
Alzheimer's Disease,R-HSA-1251985,Nuclear signaling by ERBB4,6285,S100B,1,110,1
Alzheimer's Disease,R-HSA-1251985,Nuclear signaling by ERBB4,51107,APH1A,1,110,2.58358974358974
Alzheimer's Disease,R-HSA-1251985,Nuclear signaling by ERBB4,83464,APH1B,2,110,2.58358974358974
Alzheimer's Disease,R-HSA-1257604,PIP3 activates AKT signaling,2099,ESR1,5,53,0.813465064636042
Alzheimer's Disease,R-HSA-1257604,PIP3 activates AKT signaling,2100,ESR2,8,53,0.87142728245023
Alzheimer's Disease,R-HSA-1257604,PIP3 activates AKT signaling,5468,PPARG,6,53,0.805721817451452
Alzheimer's Disease,R-HSA-1257604,PIP3 activates AKT signaling,7157,TP53,6,53,0.840800205218896
Alzheimer's Disease,R-HSA-1257604,PIP3 activates AKT signaling,207,AKT1,1,53,1.04011028406985
Alzheimer's Disease,R-HSA-1257604,PIP3 activates AKT signaling,1956,EGFR,2,53,1.03587577510901
Alzheimer's Disease,R-HSA-1257604,PIP3 activates AKT signaling,9846,GAB2,10,53,1.23534899857488
Alzheimer's Disease,R-HSA-1257604,PIP3 activates AKT signaling,5594,MAPK1,1,53,1.09148122593836
Alzheimer's Disease,R-HSA-1257604,PIP3 activates AKT signaling,6446,SGK1,1,53,1.14318303587555
Alzheimer's Disease,R-HSA-1257604,PIP3 activates AKT signaling,2932,GSK3B,4,53,1.20344382010159
Alzheimer's Disease,R-HSA-1257604,PIP3 activates AKT signaling,2255,FGF10,1,53,1
Alzheimer's Disease,R-HSA-1257604,PIP3 activates AKT signaling,6199,RPS6KB2,1,53,1.07299306781601
Alzheimer's Disease,R-HSA-1257604,PIP3 activates AKT signaling,27327,TNRC6A,1,53,1
Alzheimer's Disease,R-HSA-1257604,PIP3 activates AKT signaling,90865,IL33,2,53,0.96962962962963
Alzheimer's Disease,R-HSA-1257604,PIP3 activates AKT signaling,2246,FGF1,1,53,1.1750825112488
Alzheimer's Disease,R-HSA-1257604,PIP3 activates AKT signaling,2534,FYN,1,53,1.23749757585843
Alzheimer's Disease,R-HSA-1257604,PIP3 activates AKT signaling,3556,IL1RAP,1,53,1.31953553635758
Alzheimer's Disease,R-HSA-1257604,PIP3 activates AKT signaling,5978,REST,1,53,1.34008478455957
Alzheimer's Disease,R-HSA-1280215,Cytokine Signaling in Immune system,207,AKT1,1,136,1.04011028406985
Alzheimer's Disease,R-HSA-1280215,Cytokine Signaling in Immune system,351,APP,61,136,0.951979405216758
Alzheimer's Disease,R-HSA-1280215,Cytokine Signaling in Immune system,596,BCL2,1,136,0.883676272730323
Alzheimer's Disease,R-HSA-1280215,Cytokine Signaling in Immune system,815,CAMK2A,6,136,0.671441174421641
Alzheimer's Disease,R-HSA-1280215,Cytokine Signaling in Immune system,836,CASP3,2,136,0.919572841524733
Alzheimer's Disease,R-HSA-1280215,Cytokine Signaling in Immune system,960,CD44,1,136,1.09026357250831
Alzheimer's Disease,R-HSA-1280215,Cytokine Signaling in Immune system,3162,HMOX1,1,136,1.08734695494586
Alzheimer's Disease,R-HSA-1280215,Cytokine Signaling in Immune system,3569,IL6,1,136,0.898027504815206
Alzheimer's Disease,R-HSA-1280215,Cytokine Signaling in Immune system,3570,IL6R,1,136,0.923748470799771
Alzheimer's Disease,R-HSA-1280215,Cytokine Signaling in Immune system,3383,ICAM1,1,136,1.00331084731094
Alzheimer's Disease,R-HSA-1280215,Cytokine Signaling in Immune system,4314,MMP3,3,136,0.891094908107439
Alzheimer's Disease,R-HSA-1280215,Cytokine Signaling in Immune system,3552,IL1A,1,136,0.975723356331497
Alzheimer's Disease,R-HSA-1280215,Cytokine Signaling in Immune system,4318,MMP9,3,136,0.93108425321372
Alzheimer's Disease,R-HSA-1280215,Cytokine Signaling in Immune system,948,CD36,3,136,1.00758517078525
Alzheimer's Disease,R-HSA-1280215,Cytokine Signaling in Immune system,1436,CSF1R,3,136,1.52297584033354
Alzheimer's Disease,R-HSA-1280215,Cytokine Signaling in Immune system,3586,IL10,2,136,0.978751238470098
Alzheimer's Disease,R-HSA-1280215,Cytokine Signaling in Immune system,4985,OPRD1,2,136,1.05494579841818
Alzheimer's Disease,R-HSA-1280215,Cytokine Signaling in Immune system,2185,PTK2B,2,136,0.914537262705425
Alzheimer's Disease,R-HSA-1280215,Cytokine Signaling in Immune system,983,CDK1,3,136,1.15040880124906
Alzheimer's Disease,R-HSA-1280215,Cytokine Signaling in Immune system,3606,IL18,2,136,1.07268795825596
Alzheimer's Disease,R-HSA-1280215,Cytokine Signaling in Immune system,3603,IL16,1,136,1
Alzheimer's Disease,R-HSA-1280215,Cytokine Signaling in Immune system,3660,IRF2,1,136,1
Alzheimer's Disease,R-HSA-1280215,Cytokine Signaling in Immune system,4599,MX1,2,136,1.0292756835762
Alzheimer's Disease,R-HSA-1280215,Cytokine Signaling in Immune system,2534,FYN,1,136,1.23749757585843
Alzheimer's Disease,R-HSA-1280215,Cytokine Signaling in Immune system,2162,F13A1,2,136,1
Alzheimer's Disease,R-HSA-1280215,Cytokine Signaling in Immune system,3556,IL1RAP,1,136,1.31953553635758
Alzheimer's Disease,R-HSA-1280215,Cytokine Signaling in Immune system,4137,MAPT,23,136,1.50956819059736
Alzheimer's Disease,R-HSA-1280215,Cytokine Signaling in Immune system,1270,CNTF,1,136,1.47303886729808
Alzheimer's Disease,R-HSA-1280215,Cytokine Signaling in Immune system,3635,INPP5D,3,136,1.34008478455957
Alzheimer's Disease,R-HSA-1280215,Cytokine Signaling in Immune system,177,AGER,1,136,1.35662191333143
Alzheimer's Disease,R-HSA-1280218,Adaptive Immune System,207,AKT1,1,33,1.04011028406985
Alzheimer's Disease,R-HSA-1280218,Adaptive Immune System,1509,CTSD,3,33,1.23778854827064
Alzheimer's Disease,R-HSA-1280218,Adaptive Immune System,3383,ICAM1,1,33,1.00331084731094
Alzheimer's Disease,R-HSA-1280218,Adaptive Immune System,3309,HSPA5,2,33,0.96673934379183
Alzheimer's Disease,R-HSA-1280218,Adaptive Immune System,948,CD36,3,33,1.00758517078525
Alzheimer's Disease,R-HSA-1280218,Adaptive Immune System,5336,PLCG2,1,33,0.925541851528177
Alzheimer's Disease,R-HSA-1280218,Adaptive Immune System,7097,TLR2,1,33,0.952168088249839
Alzheimer's Disease,R-HSA-1280218,Adaptive Immune System,7099,TLR4,1,33,1.08873520959667
Alzheimer's Disease,R-HSA-1280218,Adaptive Immune System,8924,HERC2,1,33,1
Alzheimer's Disease,R-HSA-1280218,Adaptive Immune System,5534,PPP3R1,1,33,1.1641689313793
Alzheimer's Disease,R-HSA-1280218,Adaptive Immune System,5817,PVR,4,33,1.03570845508017
Alzheimer's Disease,R-HSA-1280218,Adaptive Immune System,945,CD33,3,33,1.17209590066037
Alzheimer's Disease,R-HSA-1280218,Adaptive Immune System,161,AP2A2,2,33,1.12838035152786
Alzheimer's Disease,R-HSA-1280218,Adaptive Immune System,2534,FYN,1,33,1.23749757585843
Alzheimer's Disease,R-HSA-1280218,Adaptive Immune System,7332,UBE2L3,1,33,1.22992959510518
Alzheimer's Disease,R-HSA-1280218,Adaptive Immune System,6891,TAP2,1,33,1.28223139368848
Alzheimer's Disease,R-HSA-1280218,Adaptive Immune System,7534,YWHAZ,2,33,1.05429055281819
Alzheimer's Disease,R-HSA-1280218,Adaptive Immune System,3635,INPP5D,3,33,1.34008478455957
Alzheimer's Disease,R-HSA-1280218,Adaptive Immune System,7535,ZAP70,1,33,1.34008478455957
Alzheimer's Disease,R-HSA-140534,Caspase activation via Death Receptors in the presence of ligand,355,FAS,1,3,0.949877119483524
Alzheimer's Disease,R-HSA-140534,Caspase activation via Death Receptors in the presence of ligand,7099,TLR4,1,3,1.08873520959667
Alzheimer's Disease,R-HSA-140534,Caspase activation via Death Receptors in the presence of ligand,7186,TRAF2,1,3,1.11389311953514
Alzheimer's Disease,R-HSA-140837,Intrinsic Pathway of Fibrin Clot Formation,2,A2M,2,3,1.14999630035644
Alzheimer's Disease,R-HSA-140837,Intrinsic Pathway of Fibrin Clot Formation,2147,F2,1,3,1.31953553635758
