Type,Disease,Year,variable,value
Age-standardized,Alzheimer's Disease,2011,Incidence corr coefficient,0.073123195201832
Age-standardized,Multiple Sclerosis,2011,Incidence corr coefficient,0.493730370431581
Age-standardized,Parkinson Disease,2011,Incidence corr coefficient,0.334482622643862
Age-standardized,Alzheimer's Disease,2012,Incidence corr coefficient,0.0694233610376108
Age-standardized,Multiple Sclerosis,2012,Incidence corr coefficient,0.498715129603915
Age-standardized,Parkinson Disease,2012,Incidence corr coefficient,0.324691052140907
Age-standardized,Alzheimer's Disease,2013,Incidence corr coefficient,0.0670401608776963
Age-standardized,Multiple Sclerosis,2013,Incidence corr coefficient,0.504893013073117
Age-standardized,Parkinson Disease,2013,Incidence corr coefficient,0.321015585292469
Age-standardized,Alzheimer's Disease,2014,Incidence corr coefficient,0.0760150124390682
Age-standardized,Multiple Sclerosis,2014,Incidence corr coefficient,0.504311076046698
Age-standardized,Parkinson Disease,2014,Incidence corr coefficient,0.319608387439596
Age-standardized,Alzheimer's Disease,2015,Incidence corr coefficient,0.0867369118488795
Age-standardized,Multiple Sclerosis,2015,Incidence corr coefficient,0.505267402507425
Age-standardized,Parkinson Disease,2015,Incidence corr coefficient,0.314529323242384
Age-standardized,Alzheimer's Disease,2016,Incidence corr coefficient,0.093091347338892
Age-standardized,Multiple Sclerosis,2016,Incidence corr coefficient,0.505216670104121
Age-standardized,Parkinson Disease,2016,Incidence corr coefficient,0.296248524862549
Age-standardized,Alzheimer's Disease,2017,Incidence corr coefficient,0.102600441451693
Age-standardized,Multiple Sclerosis,2017,Incidence corr coefficient,0.503773829789557
Age-standardized,Parkinson Disease,2017,Incidence corr coefficient,0.288894413828114
Age-standardized,Alzheimer's Disease,2018,Incidence corr coefficient,0.104437096261725
Age-standardized,Multiple Sclerosis,2018,Incidence corr coefficient,0.504378873252968
Age-standardized,Parkinson Disease,2018,Incidence corr coefficient,0.297302725633006
Age-standardized,Alzheimer's Disease,1992,Prevalence corr coefficient,-0.0182288038864189
Age-standardized,Multiple Sclerosis,1992,Prevalence corr coefficient,0.428229556416312
Age-standardized,Parkinson Disease,1992,Prevalence corr coefficient,0.359790871831669
Age-standardized,Alzheimer's Disease,1993,Prevalence corr coefficient,-0.128362152541096
Age-standardized,Multiple Sclerosis,1993,Prevalence corr coefficient,0.46788305831726
Age-standardized,Parkinson Disease,1993,Prevalence corr coefficient,0.351773025382557
Age-standardized,Alzheimer's Disease,1994,Prevalence corr coefficient,-0.121601065291685
Age-standardized,Multiple Sclerosis,1994,Prevalence corr coefficient,0.528787285379498
Age-standardized,Parkinson Disease,1994,Prevalence corr coefficient,0.368200541456619
Age-standardized,Alzheimer's Disease,1996,Prevalence corr coefficient,-0.141435805735953
Age-standardized,Multiple Sclerosis,1996,Prevalence corr coefficient,0.49020420345061
Age-standardized,Parkinson Disease,1996,Prevalence corr coefficient,0.35782243351032
Age-standardized,Alzheimer's Disease,1995,Prevalence corr coefficient,-0.134910244282804
Age-standardized,Multiple Sclerosis,1995,Prevalence corr coefficient,0.480467207572504
Age-standardized,Parkinson Disease,1995,Prevalence corr coefficient,0.343042750584143
Age-standardized,Alzheimer's Disease,1998,Prevalence corr coefficient,-0.154671500674749
Age-standardized,Multiple Sclerosis,1998,Prevalence corr coefficient,0.518249379131938
Age-standardized,Parkinson Disease,1998,Prevalence corr coefficient,0.394624118806397
Age-standardized,Alzheimer's Disease,1997,Prevalence corr coefficient,-0.146753281109328
Age-standardized,Multiple Sclerosis,1997,Prevalence corr coefficient,0.482508665700025
Age-standardized,Parkinson Disease,1997,Prevalence corr coefficient,0.37528468407089
Age-standardized,Alzheimer's Disease,1999,Prevalence corr coefficient,-0.127119981186174
Age-standardized,Multiple Sclerosis,1999,Prevalence corr coefficient,0.534731935104224
Age-standardized,Parkinson Disease,1999,Prevalence corr coefficient,0.413322461960643
Age-standardized,Alzheimer's Disease,2000,Prevalence corr coefficient,-0.109116067018151
Age-standardized,Multiple Sclerosis,2000,Prevalence corr coefficient,0.539279987681392
Age-standardized,Parkinson Disease,2000,Prevalence corr coefficient,0.410092768872044
Age-standardized,Alzheimer's Disease,2001,Prevalence corr coefficient,-0.0825137969473402
Age-standardized,Multiple Sclerosis,2001,Prevalence corr coefficient,0.54451000207871
Age-standardized,Parkinson Disease,2001,Prevalence corr coefficient,0.411969900801296
Age-standardized,Alzheimer's Disease,2002,Prevalence corr coefficient,-0.0611649277648082
Age-standardized,Multiple Sclerosis,2002,Prevalence corr coefficient,0.546256726364014
Age-standardized,Parkinson Disease,2002,Prevalence corr coefficient,0.396699875545334
Age-standardized,Alzheimer's Disease,2003,Prevalence corr coefficient,-0.0341923895122164
Age-standardized,Multiple Sclerosis,2003,Prevalence corr coefficient,0.531984804223312
Age-standardized,Parkinson Disease,2003,Prevalence corr coefficient,0.378408975697776
Age-standardized,Alzheimer's Disease,2004,Prevalence corr coefficient,-0.0271511300872658
Age-standardized,Multiple Sclerosis,2004,Prevalence corr coefficient,0.527255224445406
Age-standardized,Parkinson Disease,2004,Prevalence corr coefficient,0.359722444361182
Age-standardized,Alzheimer's Disease,2005,Prevalence corr coefficient,-0.0185770006118477
Age-standardized,Multiple Sclerosis,2005,Prevalence corr coefficient,0.52934900436135
Age-standardized,Parkinson Disease,2005,Prevalence corr coefficient,0.370291417060656
Age-standardized,Alzheimer's Disease,2006,Prevalence corr coefficient,-0.0286158577898533
Age-standardized,Multiple Sclerosis,2006,Prevalence corr coefficient,0.53120377746753
Age-standardized,Parkinson Disease,2006,Prevalence corr coefficient,0.366145905385466
Age-standardized,Alzheimer's Disease,2007,Prevalence corr coefficient,-0.0119689075245128
Age-standardized,Multiple Sclerosis,2007,Prevalence corr coefficient,0.521083257817046
Age-standardized,Parkinson Disease,2007,Prevalence corr coefficient,0.362267902767842
Age-standardized,Alzheimer's Disease,2008,Prevalence corr coefficient,-0.00319166050534166
Age-standardized,Multiple Sclerosis,2008,Prevalence corr coefficient,0.524600557526643
Age-standardized,Parkinson Disease,2008,Prevalence corr coefficient,0.352385845620113
Age-standardized,Alzheimer's Disease,2009,Prevalence corr coefficient,0.00577726337536571
Age-standardized,Multiple Sclerosis,2009,Prevalence corr coefficient,0.522429086740834
Age-standardized,Parkinson Disease,2009,Prevalence corr coefficient,0.351912393085663
Age-standardized,Alzheimer's Disease,2010,Prevalence corr coefficient,0.0115818062326564
Age-standardized,Multiple Sclerosis,2010,Prevalence corr coefficient,0.531887744539099
Age-standardized,Parkinson Disease,2010,Prevalence corr coefficient,0.3618741156034
Age-standardized,Alzheimer's Disease,2011,Prevalence corr coefficient,0.00657922611462392
Age-standardized,Multiple Sclerosis,2011,Prevalence corr coefficient,0.542373723661811
Age-standardized,Parkinson Disease,2011,Prevalence corr coefficient,0.358267036729148
Age-standardized,Alzheimer's Disease,2012,Prevalence corr coefficient,0.00470878113080487
Age-standardized,Multiple Sclerosis,2012,Prevalence corr coefficient,0.548048209568983
Age-standardized,Parkinson Disease,2012,Prevalence corr coefficient,0.356192082937205
Age-standardized,Alzheimer's Disease,2013,Prevalence corr coefficient,0.00268621396935094
Age-standardized,Multiple Sclerosis,2013,Prevalence corr coefficient,0.55465308363315
Age-standardized,Parkinson Disease,2013,Prevalence corr coefficient,0.363827536701124
Age-standardized,Alzheimer's Disease,2014,Prevalence corr coefficient,0.0118145616785793
Age-standardized,Multiple Sclerosis,2014,Prevalence corr coefficient,0.554728844573246
Age-standardized,Parkinson Disease,2014,Prevalence corr coefficient,0.376092424958424
Age-standardized,Alzheimer's Disease,2015,Prevalence corr coefficient,0.0237441732190227
Age-standardized,Multiple Sclerosis,2015,Prevalence corr coefficient,0.555381968938233
Age-standardized,Parkinson Disease,2015,Prevalence corr coefficient,0.382196192746091
Age-standardized,Alzheimer's Disease,2016,Prevalence corr coefficient,0.0301409532275675
Age-standardized,Multiple Sclerosis,2016,Prevalence corr coefficient,0.554919029340988
Age-standardized,Parkinson Disease,2016,Prevalence corr coefficient,0.386402254287553
Age-standardized,Alzheimer's Disease,2017,Prevalence corr coefficient,0.0395569166507347
Age-standardized,Multiple Sclerosis,2017,Prevalence corr coefficient,0.552745396013305
Age-standardized,Parkinson Disease,2017,Prevalence corr coefficient,0.393381961502563
Age-standardized,Alzheimer's Disease,2018,Prevalence corr coefficient,0.0424193728220057
Age-standardized,Multiple Sclerosis,2018,Prevalence corr coefficient,0.552579831287896
Age-standardized,Parkinson Disease,2018,Prevalence corr coefficient,0.400000742745171
Age-standardized,Alzheimer's Disease,1992,Incidence p_pe,0.862621893792851
Age-standardized,Multiple Sclerosis,1992,Incidence p_pe,0.0035080795302192
Age-standardized,Parkinson Disease,1992,Incidence p_pe,0.0108933630663049
Age-standardized,Alzheimer's Disease,1993,Incidence p_pe,0.352862892198404
Age-standardized,Multiple Sclerosis,1993,Incidence p_pe,0.00129121433025285
Age-standardized,Parkinson Disease,1993,Incidence p_pe,0.0122140162507551
Age-standardized,Alzheimer's Disease,1994,Incidence p_pe,0.41149019526843
Age-standardized,Multiple Sclerosis,1994,Incidence p_pe,0.000194799815599105
Age-standardized,Parkinson Disease,1994,Incidence p_pe,0.00826125327690401
Age-standardized,Alzheimer's Disease,1996,Incidence p_pe,0.383987784807167
Age-standardized,Multiple Sclerosis,1996,Incidence p_pe,0.000836904956688311
Age-standardized,Parkinson Disease,1996,Incidence p_pe,0.00786049412358746
Age-standardized,Alzheimer's Disease,1995,Incidence p_pe,0.380746040671793
Age-standardized,Multiple Sclerosis,1995,Incidence p_pe,0.000997771529170192
Age-standardized,Parkinson Disease,1995,Incidence p_pe,0.0121301891716278
Age-standardized,Alzheimer's Disease,1998,Incidence p_pe,0.447329001105105
Age-standardized,Multiple Sclerosis,1998,Incidence p_pe,0.000469608318825433
Age-standardized,Parkinson Disease,1998,Incidence p_pe,0.00268594639103803
Age-standardized,Alzheimer's Disease,1997,Incidence p_pe,0.422079318405653
Age-standardized,Multiple Sclerosis,1997,Incidence p_pe,0.00123554745812279
Age-standardized,Parkinson Disease,1997,Incidence p_pe,0.00497139813497822
Age-standardized,Alzheimer's Disease,1999,Incidence p_pe,0.630604443374946
Age-standardized,Multiple Sclerosis,1999,Incidence p_pe,0.000290357162777214
Age-standardized,Parkinson Disease,1999,Incidence p_pe,0.00175286960653228
Age-standardized,Alzheimer's Disease,2000,Incidence p_pe,0.746715568309787
Age-standardized,Multiple Sclerosis,2000,Incidence p_pe,0.000275252140170581
Age-standardized,Parkinson Disease,2000,Incidence p_pe,0.00213074766290684
Age-standardized,Alzheimer's Disease,2001,Incidence p_pe,0.897897135779994
Age-standardized,Multiple Sclerosis,2001,Incidence p_pe,0.000244924426103289
Age-standardized,Parkinson Disease,2001,Incidence p_pe,0.00211359356892185
Age-standardized,Alzheimer's Disease,2002,Incidence p_pe,0.969146916640779
Age-standardized,Multiple Sclerosis,2002,Incidence p_pe,0.000241256988106038
Age-standardized,Parkinson Disease,2002,Incidence p_pe,0.00292070378031875
Age-standardized,Alzheimer's Disease,2003,Incidence p_pe,0.822426166792558
Age-standardized,Multiple Sclerosis,2003,Incidence p_pe,0.000402119271557543
Age-standardized,Parkinson Disease,2003,Incidence p_pe,0.0050645242743551
Age-standardized,Alzheimer's Disease,2004,Incidence p_pe,0.777121580806246
Age-standardized,Multiple Sclerosis,2004,Incidence p_pe,0.000475021045571686
Age-standardized,Parkinson Disease,2004,Incidence p_pe,0.00808292192005506
Age-standardized,Alzheimer's Disease,2005,Incidence p_pe,0.724068429054775
Age-standardized,Multiple Sclerosis,2005,Incidence p_pe,0.00044905161404051
Age-standardized,Parkinson Disease,2005,Incidence p_pe,0.00740543284324419
Age-standardized,Alzheimer's Disease,2006,Incidence p_pe,0.769343004090854
Age-standardized,Multiple Sclerosis,2006,Incidence p_pe,0.000425838032737731
Age-standardized,Parkinson Disease,2006,Incidence p_pe,0.00994650527680119
Age-standardized,Alzheimer's Disease,2007,Incidence p_pe,0.701188829558506
Age-standardized,Multiple Sclerosis,2007,Incidence p_pe,0.000625362385849285
Age-standardized,Parkinson Disease,2007,Incidence p_pe,0.0130990657505827
Age-standardized,Alzheimer's Disease,2008,Incidence p_pe,0.655205653422243
Age-standardized,Multiple Sclerosis,2008,Incidence p_pe,0.000579373096469208
Age-standardized,Parkinson Disease,2008,Incidence p_pe,0.0189623184526288
Age-standardized,Alzheimer's Disease,2009,Incidence p_pe,0.621874920566749
Age-standardized,Multiple Sclerosis,2009,Incidence p_pe,0.000637891021465824
Age-standardized,Parkinson Disease,2009,Incidence p_pe,0.021316370962527
Age-standardized,Alzheimer's Disease,2010,Incidence p_pe,0.595100012308784
Age-standardized,Multiple Sclerosis,2010,Incidence p_pe,0.000493226816378499
Age-standardized,Parkinson Disease,2010,Incidence p_pe,0.0183272016166824
Age-standardized,Alzheimer's Disease,2011,Incidence p_pe,0.621362470232663
Age-standardized,Multiple Sclerosis,2011,Incidence p_pe,0.000362319619150657
Age-standardized,Parkinson Disease,2011,Incidence p_pe,0.0201443179154054
Age-standardized,Alzheimer's Disease,2012,Incidence p_pe,0.639164651417604
Age-standardized,Multiple Sclerosis,2012,Incidence p_pe,0.000308850559342954
Age-standardized,Parkinson Disease,2012,Incidence p_pe,0.0243464240891853
Age-standardized,Alzheimer's Disease,2013,Incidence p_pe,0.650739899161152
Age-standardized,Multiple Sclerosis,2013,Incidence p_pe,0.000252535080454755
Age-standardized,Parkinson Disease,2013,Incidence p_pe,0.0261027125664637
Age-standardized,Alzheimer's Disease,2014,Incidence p_pe,0.607595189849392
Age-standardized,Multiple Sclerosis,2014,Incidence p_pe,0.000257411584076229
Age-standardized,Parkinson Disease,2014,Incidence p_pe,0.0268025813262063
Age-standardized,Alzheimer's Disease,2015,Incidence p_pe,0.557743070279966
Age-standardized,Multiple Sclerosis,2015,Incidence p_pe,0.000249442202937017
Age-standardized,Parkinson Disease,2015,Incidence p_pe,0.0294602797505575
Age-standardized,Alzheimer's Disease,2016,Incidence p_pe,0.529137084020766
Age-standardized,Multiple Sclerosis,2016,Incidence p_pe,0.000249859288574644
Age-standardized,Parkinson Disease,2016,Incidence p_pe,0.0409028253194052
Age-standardized,Alzheimer's Disease,2017,Incidence p_pe,0.487723644891259
Age-standardized,Multiple Sclerosis,2017,Incidence p_pe,0.000261989180741748
Age-standardized,Parkinson Disease,2017,Incidence p_pe,0.0464317933870594
Age-standardized,Alzheimer's Disease,2018,Incidence p_pe,0.479924530460826
Age-standardized,Multiple Sclerosis,2018,Incidence p_pe,0.000256839099613589
Age-standardized,Parkinson Disease,2018,Incidence p_pe,0.0401564147903317
Age-standardized,Alzheimer's Disease,1992,Prevalence p_pe,0.902127725356969
Age-standardized,Multiple Sclerosis,1992,Prevalence p_pe,0.00239418251884273
Age-standardized,Parkinson Disease,1992,Prevalence p_pe,0.0120138622002172
Age-standardized,Alzheimer's Disease,1993,Prevalence p_pe,0.384583703627502
Age-standardized,Multiple Sclerosis,1993,Prevalence p_pe,0.000798404704195593
Age-standardized,Parkinson Disease,1993,Prevalence p_pe,0.0142128095014456
Age-standardized,Alzheimer's Disease,1994,Prevalence p_pe,0.410319662766937
Age-standardized,Multiple Sclerosis,1994,Prevalence p_pe,0.000111689916556612
Age-standardized,Parkinson Disease,1994,Prevalence p_pe,0.0100273271138685
Age-standardized,Alzheimer's Disease,1996,Prevalence p_pe,0.337610112278307
Age-standardized,Multiple Sclerosis,1996,Prevalence p_pe,0.000405050846102713
Age-standardized,Parkinson Disease,1996,Prevalence p_pe,0.0125247504346452
Age-standardized,Alzheimer's Disease,1995,Prevalence p_pe,0.360592472107381
Age-standardized,Multiple Sclerosis,1995,Prevalence p_pe,0.00054768793145468
Age-standardized,Parkinson Disease,1995,Prevalence p_pe,0.0169887836579176
Age-standardized,Alzheimer's Disease,1998,Prevalence p_pe,0.293864482302468
Age-standardized,Multiple Sclerosis,1998,Prevalence p_pe,0.000161256115259331
Age-standardized,Parkinson Disease,1998,Prevalence p_pe,0.00551005977810473
Age-standardized,Alzheimer's Disease,1997,Prevalence p_pe,0.319571985105511
Age-standardized,Multiple Sclerosis,1997,Prevalence p_pe,0.000514498223502882
Age-standardized,Parkinson Disease,1997,Prevalence p_pe,0.00858009854854877
Age-standardized,Alzheimer's Disease,1999,Prevalence p_pe,0.38923898646384
Age-standardized,Multiple Sclerosis,1999,Prevalence p_pe,9.0300254884926e-05
Age-standardized,Parkinson Disease,1999,Prevalence p_pe,0.00350147998488246
Age-standardized,Alzheimer's Disease,2000,Prevalence p_pe,0.460356754269304
Age-standardized,Multiple Sclerosis,2000,Prevalence p_pe,7.65384334416885e-05
Age-standardized,Parkinson Disease,2000,Prevalence p_pe,0.0037936472041521
Age-standardized,Alzheimer's Disease,2001,Prevalence p_pe,0.577147982627923
Age-standardized,Multiple Sclerosis,2001,Prevalence p_pe,6.30982416944324e-05
Age-standardized,Parkinson Disease,2001,Prevalence p_pe,0.00362133590125747
Age-standardized,Alzheimer's Disease,2002,Prevalence p_pe,0.679621390607207
Age-standardized,Multiple Sclerosis,2002,Prevalence p_pe,5.91150106723202e-05
Age-standardized,Parkinson Disease,2002,Prevalence p_pe,0.00524613118537449
Age-standardized,Alzheimer's Disease,2003,Prevalence p_pe,0.817536361327433
Age-standardized,Multiple Sclerosis,2003,Prevalence p_pe,9.967085281861e-05
Age-standardized,Parkinson Disease,2003,Prevalence p_pe,0.00800155777545263
Age-standardized,Alzheimer's Disease,2004,Prevalence p_pe,0.85465385063567
Age-standardized,Multiple Sclerosis,2004,Prevalence p_pe,0.000117904539629254
Age-standardized,Parkinson Disease,2004,Prevalence p_pe,0.0120313174955694
Age-standardized,Alzheimer's Disease,2005,Prevalence p_pe,0.900267578976362
Age-standardized,Multiple Sclerosis,2005,Prevalence p_pe,0.000109487237040726
Age-standardized,Parkinson Disease,2005,Prevalence p_pe,0.0095797964511986
Age-standardized,Alzheimer's Disease,2006,Prevalence p_pe,0.846904189454999
Age-standardized,Multiple Sclerosis,2006,Prevalence p_pe,0.000102492388274798
Age-standardized,Parkinson Disease,2006,Prevalence p_pe,0.0104845204773709
Age-standardized,Alzheimer's Disease,2007,Prevalence p_pe,0.935648702315211
Age-standardized,Multiple Sclerosis,2007,Prevalence p_pe,0.000146263562033147
Age-standardized,Parkinson Disease,2007,Prevalence p_pe,0.0113964367024296
Age-standardized,Alzheimer's Disease,2008,Prevalence p_pe,0.982823166157804
Age-standardized,Multiple Sclerosis,2008,Prevalence p_pe,0.000129423435799916
Age-standardized,Parkinson Disease,2008,Prevalence p_pe,0.0140334100826306
Age-standardized,Alzheimer's Disease,2009,Prevalence p_pe,0.968913291281783
Age-standardized,Multiple Sclerosis,2009,Prevalence p_pe,0.000139597709871144
Age-standardized,Parkinson Disease,2009,Prevalence p_pe,0.0141718395246921
Age-standardized,Alzheimer's Disease,2010,Prevalence p_pe,0.93772580736935
Age-standardized,Multiple Sclerosis,2010,Prevalence p_pe,0.000100017592043067
Age-standardized,Parkinson Disease,2010,Prevalence p_pe,0.0114927324545499
Age-standardized,Alzheimer's Disease,2011,Prevalence p_pe,0.964600605289864
Age-standardized,Multiple Sclerosis,2011,Prevalence p_pe,6.83030208869379e-05
Age-standardized,Parkinson Disease,2011,Prevalence p_pe,0.0124077609277755
Age-standardized,Alzheimer's Disease,2012,Prevalence p_pe,0.974660574768589
Age-standardized,Multiple Sclerosis,2012,Prevalence p_pe,5.52699247747895e-05
Age-standardized,Parkinson Disease,2012,Prevalence p_pe,0.0129618633382719
Age-standardized,Alzheimer's Disease,2013,Prevalence p_pe,0.985543056296543
Age-standardized,Multiple Sclerosis,2013,Prevalence p_pe,4.29881038385027e-05
Age-standardized,Parkinson Disease,2013,Prevalence p_pe,0.011021818741536
Age-standardized,Alzheimer's Disease,2014,Prevalence p_pe,0.936476840036784
Age-standardized,Multiple Sclerosis,2014,Prevalence p_pe,4.28630413275502e-05
Age-standardized,Parkinson Disease,2014,Prevalence p_pe,0.00842716394373702
Age-standardized,Alzheimer's Disease,2015,Prevalence p_pe,0.872730885036146
Age-standardized,Multiple Sclerosis,2015,Prevalence p_pe,4.17986457241419e-05
Age-standardized,Parkinson Disease,2015,Prevalence p_pe,0.00734579280644835
Age-standardized,Alzheimer's Disease,2016,Prevalence p_pe,0.838850327893529
Age-standardized,Multiple Sclerosis,2016,Prevalence p_pe,4.25505616133201e-05
Age-standardized,Parkinson Disease,2016,Prevalence p_pe,0.00667261295372658
Age-standardized,Alzheimer's Disease,2017,Prevalence p_pe,0.78951635468261
Age-standardized,Multiple Sclerosis,2017,Prevalence p_pe,4.62496257401792e-05
Age-standardized,Parkinson Disease,2017,Prevalence p_pe,0.0056734766501044
Age-standardized,Alzheimer's Disease,2018,Prevalence p_pe,0.774669777196113
Age-standardized,Multiple Sclerosis,2018,Prevalence p_pe,4.65431186732654e-05
Age-standardized,Parkinson Disease,2018,Prevalence p_pe,0.00484914877726229
Age-standardized,Alzheimer's Disease,1992,Incidence RMSE,4.91913047134884
Age-standardized,Multiple Sclerosis,1992,Incidence RMSE,0.678631408280477
Age-standardized,Parkinson Disease,1992,Incidence RMSE,0.612504133833071
Age-standardized,Alzheimer's Disease,1993,Incidence RMSE,5.09845172606158
Age-standardized,Multiple Sclerosis,1993,Incidence RMSE,0.657789272381982
Age-standardized,Parkinson Disease,1993,Incidence RMSE,0.623696392513231
Age-standardized,Alzheimer's Disease,1994,Incidence RMSE,5.34441138568876
Age-standardized,Multiple Sclerosis,1994,Incidence RMSE,0.628289136978217
Age-standardized,Parkinson Disease,1994,Incidence RMSE,0.630307758371452
Age-standardized,Alzheimer's Disease,1996,Incidence RMSE,5.87792992483513
Age-standardized,Multiple Sclerosis,1996,Incidence RMSE,0.646900719151264
Age-standardized,Parkinson Disease,1996,Incidence RMSE,0.663114164165414
Age-standardized,Alzheimer's Disease,1995,Incidence RMSE,5.55728322770201
Age-standardized,Multiple Sclerosis,1995,Incidence RMSE,0.648201429030587
Age-standardized,Parkinson Disease,1995,Incidence RMSE,0.646789140725514
Age-standardized,Alzheimer's Disease,1998,Incidence RMSE,7.02797805384645
Age-standardized,Multiple Sclerosis,1998,Incidence RMSE,0.646915747122777
Age-standardized,Parkinson Disease,1998,Incidence RMSE,0.730615506246916
Age-standardized,Alzheimer's Disease,1997,Incidence RMSE,6.40436417688119
Age-standardized,Multiple Sclerosis,1997,Incidence RMSE,0.654919041168339
Age-standardized,Parkinson Disease,1997,Incidence RMSE,0.694272129594092
Age-standardized,Alzheimer's Disease,1999,Incidence RMSE,7.60450232668441
Age-standardized,Multiple Sclerosis,1999,Incidence RMSE,0.645952762560548
Age-standardized,Parkinson Disease,1999,Incidence RMSE,0.768213616376947
Age-standardized,Alzheimer's Disease,2000,Incidence RMSE,7.8909533210597
Age-standardized,Multiple Sclerosis,2000,Incidence RMSE,0.648079316589912
Age-standardized,Parkinson Disease,2000,Incidence RMSE,0.804789929239893
Age-standardized,Alzheimer's Disease,2001,Incidence RMSE,7.94902951262221
Age-standardized,Multiple Sclerosis,2001,Incidence RMSE,0.648476168555578
Age-standardized,Parkinson Disease,2001,Incidence RMSE,0.834166437644212
Age-standardized,Alzheimer's Disease,2002,Incidence RMSE,7.97487693231726
